year,pid,age,sex,marstat,educ,inctot,k6sum,outcome,label_outcome,label_sex,label_education
2021,102,81,2,20,201,21160,0,0,No,Female,High school graduate
2021,101,85,2,50,109,16528,9,0,No,Female,Grade 6
2021,101,59,2,10,201,9508,2,0,No,Female,High school graduate
2021,102,73,1,10,201,25508,2,0,No,Male,High school graduate
2021,103,21,1,50,115,20000,2,0,No,Male,Grade 11
2021,101,44,2,10,504,1500,1,0,No,Female,Other degree
2021,102,41,1,10,201,41500,1,0,No,Male,High school graduate
2021,102,32,1,10,201,41600,1,0,No,Male,High school graduate
2021,101,83,1,10,501,113399,2,0,No,Male,"Master's degree (MA,MS,Med,MBA)"
2021,102,83,2,10,301,106647,0,0,No,Female,"Some college, no degree"
2021,101,63,1,20,201,88000,0,0,No,Male,High school graduate
2021,101,31,2,50,400,49928,4,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,63,2,10,201,6415,8,0,No,Female,High school graduate
2021,102,54,1,10,201,70716,0,0,No,Male,High school graduate
2021,101,32,1,10,501,277082,0,0,No,Male,"Master's degree (MA,MS,Med,MBA)"
2021,102,33,2,10,501,115025,1,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,101,51,1,50,301,40000,1,0,No,Male,"Some college, no degree"
2021,101,32,2,10,400,60000,1,0,No,Female,"Bachelor's degree (BA,AB,BS,BBA)"
2021,102,31,1,50,400,61000,0,0,No,Male,"Bachelor's degree (BA,AB,BS,BBA)"
2021,101,59,1,40,113,15000,3,0,No,Male,Grade 9
2021,102,31,2,50,201,55759,1,0,No,Female,High school graduate
2021,101,55,1,10,501,138299,0,0,No,Male,"Master's degree (MA,MS,Med,MBA)"
2021,102,43,2,10,501,130000,1,0,No,Female,"Master's degree (MA,MS,Med,MBA)"
2021,101,85,2,20,201,17592,2,0,No,Female,High school graduate
2021,101,36,1,10,301,52000,2,0,No,Male,"Some college, no degree"
2021,101,59,1,30,504,130000,4,0,No,Male,Other degree
2021,101,85,2,20,201,73454,2,0,No,Female,High school graduate
2021,101,80,2,10,301,44484,3,0,No,Female,"Some college, no degree"
2021,102,85,1,10,201,44484,4,0,No,Male,High school graduate
2021,102,85,2,20,109,5500,12,0,No,Female,Grade 6
